Food Allergies Survey [Total Pts: 0 Complete/Incomplete] |1479492,Academic Integrity Quiz [Total Pts: 10 Score] |1479493,Syllabus Quiz [Total Pts: 10 Score] |1494922,Pre-Lab 1 [Total Pts: 5 Score] |1496771,Lab 1 [Total Pts: 20 Score] |1496772,Pre-Lab 2 [Total Pts: 5 Score] |1496773,Lab 2 [Total Pts: 20 Score] |1496774,Pre-Lab 3 [Total Pts: 5 Score] |1496775,Lab 3 [Total Pts: 20 Score] |1496776,Pre-Lab 4 [Total Pts: 5 Score] |1496777,Lab 4 [Total Pts: 20 Score] |1496778,Pre-Lab 5 [Total Pts: 5 Score] |1496779,Lab 5 [Total Pts: 20 Score] |1496780,Pre-Lab 6 [Total Pts: 5 Score] |1496781,Lab 6 [Total Pts: 20 Score] |1496782,Pre-Lab 7 [Total Pts: 5 Score] |1496783,Lab 7 [Total Pts: 20 Score] |1496784,Pre-Lab 8 [Total Pts: 5 Score] |1496785,Lab 8 [Total Pts: 20 Score] |1496786,Pre-Lab 9 [Total Pts: 5 Score] |1496787,Lab 9 [Total Pts: 20 Score] |1496788,Pre-Lab 10 [Total Pts: 5 Score] |1496789,Lab 10 [Total Pts: 20 Score] |1496790,E&E #1 [Total Pts: 1 Score] |1496793,E&E #2 [Total Pts: 2 Score] |1496794,E&E #3 [Total Pts: 2 Score] |1496795,E&E #4 [Total Pts: 2 Score] |1496796,E&E #5 [Total Pts: 2 Score] |1496797,E&E #6 [Total Pts: 4 Score] |1496798,E&E #7 [Total Pts: 2 Score] |1496799,E&E #8 [Total Pts: 5 Score] |1496800,E&E #9 [Total Pts: 3 Score] |1496801,E&E #10 [Total Pts: 3 Score] |1496802,E&E #12 [Total Pts: 4 Score] |1496804,E&E #13 [Total Pts: 2 Score] |1496805,E&E #14 [Total Pts: 4 Score] |1496806,E&E Running Total [Total Pts: up to 36 Score] |1496808,Documentary Review Extra Credit [Total Pts: 0 Score] |1522564,ANTH 105 Midterm Instruction Assessment [Total Pts: 0 Complete/Incomplete] |1535043,Midterm Grade Percentage Column [Total Pts: up to 133 Percentage] |1548277,Midterm Letter Grade [Total Pts: 0 Text] |1548278,March Mammal Madness Extra Credit [Total Pts: 0 Score] |1550204,Documentary Lab Questions [Total Pts: 25 Score] |1556627,Exam 1 [Total Pts: 40 Score] |1556814,Lincoln Park Zoo Assignment [Total Pts: 30 Score] |1561597,Field Museum Scavenger Hunt [Total Pts: 50 Score] |1561598,Misc. Extra Credit [Total Pts: 0 Score] |1566943,Final Percentage [Total Pts: 475 Percentage] |1566944,Final Letter Grade [Total Pts: 100 Text] |1566946,Exam 2 [Total Pts: 40 Score] |1567890,Inquizitive Extra Credit [Total Pts: 0 Score] |1568003,Date Last Attendance [Total Pts: 0 Text] |1569614,Total Assignment Percentage [Total Pts: up to 355 Percentage] |2291801,Total Exam Percentage [Total Pts: up to 80 Percentage] |2291807,Total Attendance Percentage [Total Pts: up to 36 Percentage] |2291808,Total Extra Credit [Total Pts: 0 Score] |2291988
Complete,0.0,,4.5,20.0,5.0,18.5,0.0,0.0,5.0,19.5,4.0,20.0,3.5,19.0,4.5,20.0,2.5,20.0,5.0,20.0,4.0,20.0,1.0,0.0,2.0,2.0,1.0,3.5,2.0,5.0,3.0,3.0,0.0,0.0,0.0,22.5,,,61.65413,D,,22.5,34.0,23.5,50.0,,88.0,B,33.0,,,87.60563,83.75,62.5,0.0
Complete,10.0,9.0,5.0,18.0,4.0,18.0,5.0,19.0,5.0,18.0,5.0,17.0,4.0,19.0,4.0,19.0,3.0,19.5,5.0,19.0,5.0,20.0,,2.0,1.0,,,,2.0,5.0,3.0,,4.0,,,17.0,,,85.71428,B,,20,34.0,28.0,42.0,,89.36842,B,30.0,,,90.56338000000001,80.0,47.22222,0.0
Complete,8.0,10.0,4.5,17.0,3.0,16.0,5.0,15.5,5.0,19.5,5.0,19.0,5.0,20.0,4.0,17.5,2.5,20.0,4.0,20.0,5.0,20.0,1.0,1.0,1.5,2.0,0.0,3.5,2.0,5.0,0.0,1.0,4.0,1.0,4.0,26.0,,Complete,84.58646,B,,22.5,29.0,25.0,50.0,1.0,87.78947,B,24.0,,,91.54929,66.25,72.22222,1.0
Complete,10.0,9.0,4.0,20.0,5.0,17.0,5.0,18.5,5.0,19.0,5.0,19.0,5.0,19.0,3.5,20.0,3.0,19.5,5.0,20.0,5.0,20.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,5.0,3.0,3.0,4.0,2.0,4.0,30.0,5.0,Complete,89.84962,B,,12.5,32.0,30.0,45.0,1.0,91.15789000000001,A,27.0,5.0,,91.54929,73.75,83.33333,11.0
Complete,10.0,10.0,4.5,20.0,1.0,17.5,5.0,13.0,5.0,20.0,5.0,18.0,5.0,20.0,5.0,19.0,3.0,20.0,5.0,20.0,5.0,20.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,3.0,0.0,4.0,0.0,4.0,27.0,,Complete,86.46616,B,,22.5,27.0,30.0,49.0,1.0,89.57894,A,25.0,,,93.66197,65.0,75.0,1.0
,8.0,9.0,5.0,17.0,4.0,17.0,,,4.0,18.0,5.0,18.0,1.0,17.0,,,1.0,19.0,3.0,18.0,4.0,20.0,,,,,2.0,,,,0.0,,,,,2.0,,Complete,63.15789,D,,7.5,23.0,20.0,10.0,,56.526309999999995,F,18.0,,5/2/19,58.73239,51.25,5.55555,0.0
Complete,10.0,10.0,5.0,18.0,4.0,19.0,5.0,17.0,5.0,18.0,5.0,19.0,2.0,15.0,5.0,19.0,5.0,20.0,4.0,18.0,4.0,19.0,1.0,,,2.0,2.0,2.0,,2.0,3.0,1.0,4.0,2.0,4.0,23.0,5.0,Complete,88.7218,B,5.0,25,34.0,30.0,47.0,,93.89473000000001,A,34.0,,,92.39435999999999,85.0,63.88888000000001,10.0
Complete,10.0,10.0,5.0,18.0,5.0,17.0,5.0,17.0,5.0,18.0,,19.0,5.0,15.0,4.0,19.0,5.0,20.0,5.0,20.0,5.0,20.0,,,2.0,,2.0,1.0,,4.0,0.0,,,,,9.0,,Complete,86.46616,B,,20,33.0,27.0,44.5,,85.36842,B,25.0,,,89.7183,72.5,25.0,0.0
Complete,8.0,10.0,5.0,17.0,5.0,18.5,4.0,19.0,4.5,20.0,5.0,20.0,5.0,20.0,5.0,18.5,5.0,19.0,5.0,20.0,5.0,20.0,1.0,1.0,1.0,1.5,2.0,1.0,2.0,5.0,3.0,1.0,4.0,,,22.5,,Complete,89.09774,B,,25,31.0,30.0,45.0,,93.78947,A,36.0,,5/1/19,95.91549,83.75,62.5,0.0
Complete,10.0,10.0,4.5,19.5,5.0,17.0,4.0,19.25,2.5,20.0,4.0,20.0,4.5,19.5,4.5,20.0,2.0,19.5,2.5,19.0,5.0,20.0,1.0,2.0,0.0,2.0,0.0,4.0,2.0,5.0,,2.5,4.0,,,22.5,5.0,Complete,90.78947,A,5.0,25,32.0,27.5,42.5,,89.73684,A,17.0,,,92.18309,61.25,62.5,10.0
